trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
88,False,"{'a': 0.5, 'e': 0.9998433086476912}",25,0,-85.70655349396198,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.8689582973139933}",25,0,-156.48225168901763,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
90,False,"{'a': 0.5, 'e': 0.5253219888177297}",20,10,-6.367857571137321,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.05306853621402457}",20,9,24.75862013089523,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.4321779448847783}",25,0,-13.886264543205689,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.8116121923430246}",20,0,-25.739148966174703,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.9923354691509287}",25,0,-197.4407740480819,"{0: 15, 1: 1, 2: 3, 3: 3, 4: 3}",0
95,False,"{'a': 0.5, 'e': 0.9301004142012892}",25,0,-119.02348238172036,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.6401443394691997}",25,0,-13.644421010200915,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.1934586046207122}",20,0,12.633760194934377,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.3005925437436371}",35,25,8.917569955269038,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.7210481538680822}",25,10,-1.3081242704409854,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.9649660284921133}",25,0,-166.47514588706267,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.9726265649744922}",25,0,-173.0428017776253,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
102,False,"{'a': 0.5, 'e': 0.7421541968137826}",25,0,-101.81640567250825,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
103,False,"{'a': 0.5, 'e': 0.32997659774057014}",20,7,-8.603306154759267,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.16299078079570548}",20,8,20.380976206717893,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.616052331690985}",25,0,19.193933810495256,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.9182827862121189}",30,0,-116.5143081568095,"{0: 19, 1: 5, 2: 3, 3: 2, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.9956855884367365}",30,0,-138.88559673653424,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.8293098328631502}",25,1,-93.4040889103826,"{0: 16, 1: 5, 2: 1, 3: 0, 4: 2}",1
109,False,"{'a': 0.5, 'e': 0.4598901070131037}",20,2,1.5683811880031495,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.022126756261955736}",35,18,31.537226783221367,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.49872621790648564}",20,0,-21.478501182556304,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.853220107722584}",20,2,-50.30133969121992,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.9988159580766447}",20,0,-97.09806696374324,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
114,False,"{'a': 0.5, 'e': 0.8998668269691938}",20,10,-75.62211005310651,"{0: 4, 1: 2, 2: 3, 3: 0, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.580598912666927}",20,0,14.103926938197,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.11918013544881928}",20,11,18.979929971256933,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.37141809547969407}",20,4,-41.16929694605269,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
118,False,"{'a': 0.5, 'e': 0.7710802229758452}",30,0,-96.8733006473991,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
119,False,"{'a': 0.5, 'e': 0.9819550195245901}",20,0,-96.9496547989708,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.9524129804151563}",25,0,-174.44033398429843,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
121,False,"{'a': 0.5, 'e': 0.6896870271361664}",20,0,-98.07421991027468,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
122,False,"{'a': 0.5, 'e': 0.25810163593826746}",20,10,17.111292867961183,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.23667603734656428}",30,16,18.473697994721437,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.6735071623235862}",30,8,-24.1248894469689,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.9454402445803316}",20,0,-84.62567962551732,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
126,False,"{'a': 0.5, 'e': 0.9858965815825497}",20,0,-20.642960997439967,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.784971051068018}",25,0,-51.70896490198852,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.39185723042955}",35,24,15.52508905040488,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.0971969067167568}",25,12,27.32572365582325,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.562453851238172}",20,5,-4.475438034917599,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.8900024767126464}",20,0,-118.98642243044932,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
132,False,"{'a': 0.5, 'e': 0.99964745596635}",20,0,-127.50844393749877,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
133,False,"{'a': 0.5, 'e': 0.8645438740756395}",30,11,-53.846240469703815,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1
134,False,"{'a': 0.5, 'e': 0.5177697997895051}",25,0,-25.03011183424618,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.04422762066183892}",20,13,11.831861832640412,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.4401430224960407}",30,8,-45.97938763595461,"{0: 16, 1: 4, 2: 1, 3: 0, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.8167513032223336}",25,0,-36.77283085598477,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.9933903797222716}",25,0,-59.94518656080852,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.926812845565509}",30,0,-67.37123774147062,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.6333192030862999}",30,19,-12.396935377461439,"{0: 6, 1: 5, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.18476693191217952}",20,13,13.21802113053132,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.3090227281660707}",20,2,11.728249194056136,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.7271528468448446}",20,16,7.915855709434917,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.9672505882738824}",20,0,-44.15721364863365,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.9705316516498831}",20,0,-116.6195619278083,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.7361927182273159}",25,7,-59.97490769930697,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 1}",1
147,False,"{'a': 0.5, 'e': 0.32160813176404734}",30,1,11.571224731142005,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.17171734183077755}",20,16,5.971451428589711,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.6230004212937645}",20,0,6.963220227016788,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.9217512697247493}",20,10,-65.49511594286311,"{0: 5, 1: 3, 2: 0, 3: 1, 4: 1}",1
151,False,"{'a': 0.5, 'e': 0.9948252601277343}",25,11,-59.516624296587395,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
152,False,"{'a': 0.5, 'e': 0.8243313311075577}",20,0,-96.67332855378056,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
153,False,"{'a': 0.5, 'e': 0.45201234267200896}",20,10,2.349818232344704,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.03097503173121646}",25,5,34.72178978055317,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.506378638074642}",20,2,0.7284165279157686,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.8578030932449878}",30,0,-151.44700258433846,"{0: 15, 1: 8, 2: 5, 3: 0, 4: 2}",0
157,False,"{'a': 0.5, 'e': 0.9992074342602034}",30,0,-99.41132681750942,"{0: 19, 1: 6, 2: 3, 3: 1, 4: 1}",0
158,False,"{'a': 0.5, 'e': 0.8959709467909631}",20,0,-85.80619971853208,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.5733695234681091}",25,0,-62.776912834494446,"{0: 16, 1: 8, 2: 0, 3: 0, 4: 1}",0
160,False,"{'a': 0.5, 'e': 0.11038724383904756}",20,13,12.769946127881978,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.37962168297153187}",25,10,-5.226487141877016,"{0: 11, 1: 4, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.7766859820216312}",20,0,-49.65802403887166,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
163,False,"{'a': 0.5, 'e': 0.9835904648022342}",20,0,-106.8946087165716,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
164,False,"{'a': 0.5, 'e': 0.9496776978825432}",25,0,-100.44432123713045,"{0: 15, 1: 2, 2: 5, 3: 3, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.6832507093535931}",25,0,-21.568646775438832,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.24954011797333814}",30,3,-29.509465634352004,"{0: 21, 1: 5, 2: 0, 3: 0, 4: 1}",1
167,False,"{'a': 0.5, 'e': 0.24526659730265726}",30,3,30.75751265535099,"{0: 25, 1: 2, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.6800234955873388}",25,0,-93.15343190921006,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
169,False,"{'a': 0.5, 'e': 0.9482869255037094}",25,0,-36.82963109914089,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.9843766433940419}",20,0,-91.97576399814461,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
171,False,"{'a': 0.5, 'e': 0.7794566276458688}",30,0,13.083974305288786,"{0: 25, 1: 4, 2: 1, 3: 0, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.38369844494974187}",20,0,-41.63230068159787,"{0: 14, 1: 5, 2: 0, 3: 0, 4: 1}",0
173,False,"{'a': 0.5, 'e': 0.10600249902117563}",20,12,12.481575818150132,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.569750334265312}",25,5,-2.0849061115544263,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",1
